symbol,multiplier,period,percentage,Market Cap cr
1STCUS:511122.0,2.0,8,382333.58002000005,16.6004992
20MICRONS,1.5,17,898.6085675392151,669.5613952
21STCENMGM,1.5,17,7646.011371748924,60.7212288
360ONE,3.0,11,162.8759025878906,28996.3933696
3BBLACKBIO:532067.0,3.0,14,53985.63688999999,-1.0
3CIT:544190.0,1.5,7,0.0,-1.0
3IINFOLTD,1.5,20,6177.756688484192,619.9584768
3MINDIA,3.0,9,1402.4499768066405,41105.506304
3PLAND,3.0,18,-72.86097307705879,56.1420032
3RDROCK,1.5,7,0.0,145.503744
5PAISA,2.5,9,977.0115695724487,1666.6753024
63MOONS,1.5,7,34399.390701107026,1717.8269696
7NR:540615.0,2.0,14,7589.678600000002,5.3419948
7SEASL:540874.0,1.5,21,579.82239,-1.0
7TEC:532404.0,3.0,11,1229.0984000000017,62.106496
A2ZINFRA,1.5,8,4345.599370301246,390.8102912
AAATECH,1.5,20,107.20120824623108,143.903872
AADHARHFC:544176.0,1.5,13,23.71110000000001,17920.1540096
AAIL:530621.0,3.0,14,481.4479499999984,112.0333824
AAKASH,2.0,21,5862.512388404489,123.6262528
AANANDALAK:539096.0,2.5,10,3600.9382699999987,-1.0
AANCHALISP:538812.0,1.5,11,207.5326399999999,12.8667944
AAPLUSTRAD:543319.0,2.5,12,92.14126999999996,-1.0
AAREYDRUGS,3.0,11,171.26222888183594,133.7908608
AARNAV:539562.0,2.0,8,301.42839000000015,-1.0
AARON,3.0,19,78.76350048065186,267.2179456
AARSHYAM:542377.0,1.5,9,154.79698999999997,-1.0
AARTECH,1.5,17,104.1991382446289,237.3244672
AARTIDRUGS,2.5,9,52106.3262473774,4791.652352
AARTIIND,1.5,18,6404.2899039328095,24501.6805376
AARTIPHARM,2.0,15,68.80253176879883,5495.1079936
AARTISURF,1.5,14,365.09268383789066,582.0574208
AARVEEDEN,2.5,7,124.66507189941407,64.61072
AARVI,1.5,20,200.55522596359253,204.876672
AASHKA:543346.0,1.5,7,232.6066599999998,-1.0
AASTAFIN:511764.0,3.0,8,1321.0856000000003,-1.0
AAVAS,2.5,13,246.3231372680664,14670.9168128
AAYUSH:539528.0,3.0,11,878.2677099999999,99.7060672
ABAN,1.5,9,149741.84652833748,415.5609088
ABB,2.0,7,57732.82923908615,191180.701696
ABBOTINDIA:500488.0,2.5,7,3026.054749999999,58360.987648
ABCAPITAL,1.5,21,270.6921512145996,62414.0746752
ABCINDQ:520123.0,1.5,7,-99.94371999999998,60.645888
ABFRL,1.5,18,148.36136360931397,33198.4601088
ABHICAP:532057.0,2.0,9,563065.2885300004,127.6896256
ABHIFIN:538935.0,2.0,8,2434.438790000002,-1.0
ABHIINFRA:539544.0,1.5,9,37284.99525,2.189826
ABHISHEK,2.5,20,-66.4538870420456,0.022812
ABIRAFN:511756.0,1.5,20,9278905.848829998,32.598
ABMINTLLTD,3.0,14,67882.18853727722,69.082944
ABMKNO:531161.0,2.5,7,12638.43308999997,265.4291968
ABSLAMC,1.5,18,89.31062353515625,19569.0790912
ABVL:530881.0,1.5,14,2126046.6956500006,-1.0
ACC,2.0,17,1473.7239004821777,49983.2684544
ACCEDERE:531533.0,3.0,7,42495203.583189994,-1.0
ACCEL:517494.0,3.0,8,-83.66625999999997,129.0647552
ACCELERATE:543938.0,1.5,12,325.71844999999996,-1.0
ACCELYA,1.5,19,3168.9201091976165,2662.7026944
ACCURACY,1.5,8,1398.6509149281978,179.1664
ACE,1.5,18,6727.363756612777,17576.4389888
ACEENGITEC:530669.0,2.5,8,11625.736410000001,-1.0
ACEINTEG,1.5,19,92.19180249404907,34.9044
ACEMEN:539661.0,3.0,8,994.5637900000005,14.0485984
ACESOFT:531525.0,3.0,9,385.7614700000001,119.176192
ACFL:541133.0,1.5,15,0.0,-1.0
ACFSL:536737.0,1.5,9,103.07359000000001,-1.0
ACGL:505036.0,3.0,14,81.56664999999994,1483.0051328
ACHYUT:543499.0,1.5,10,166.54436000000004,-1.0
ACI,1.5,20,79.01743927001952,8302.149632
ACIIN:517356.0,1.5,10,5092594886.27099,24.749984
ACKNIT:530043.0,3.0,8,-99.12909,98.8911936
ACL,1.5,9,35316.76939466858,-1.0
